scorer,DLC_mobnet_100_C57Feb13shuffle1_375000,DLC_mobnet_100_C57Feb13shuffle1_375000,DLC_mobnet_100_C57Feb13shuffle1_375000,DLC_mobnet_100_C57Feb13shuffle1_375000,DLC_mobnet_100_C57Feb13shuffle1_375000,DLC_mobnet_100_C57Feb13shuffle1_375000,DLC_mobnet_100_C57Feb13shuffle1_375000,DLC_mobnet_100_C57Feb13shuffle1_375000,DLC_mobnet_100_C57Feb13shuffle1_375000,DLC_mobnet_100_C57Feb13shuffle1_375000,DLC_mobnet_100_C57Feb13shuffle1_375000,DLC_mobnet_100_C57Feb13shuffle1_375000
bodyparts,Focinho,Focinho,Focinho,OrelhaE,OrelhaE,OrelhaE,OrelhaD,OrelhaD,OrelhaD,Rabo,Rabo,Rabo
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,648.9275512695312,686.9550170898438,0.9998438358306885,608.1644897460938,702.9574584960938,0.9999468326568604,638.0510864257812,737.7163696289062,0.9999634027481079,485.9790344238281,840.8768920898438,0.999940037727356
1,657.0767211914062,680.1525268554688,0.9999864101409912,617.567626953125,695.8887329101562,0.9999440908432007,647.720947265625,726.4121704101562,0.9999604225158691,504.95013427734375,837.2691040039062,0.9999629259109497
2,660.4594116210938,679.2920532226562,0.9999880790710449,624.3864135742188,691.9285888671875,0.9999746084213257,655.6100463867188,721.9456787109375,0.9999653100967407,524.6488037109375,839.3988037109375,0.9999291896820068
3,663.7069702148438,678.9083251953125,0.9999792575836182,627.5365600585938,694.2579345703125,0.9999547004699707,661.0958251953125,723.8701782226562,0.9999927282333374,537.9820556640625,838.8805541992188,0.999940037727356
4,656.8121337890625,674.84716796875,0.9999880790710449,622.7036743164062,701.5269165039062,0.999798595905304,662.663330078125,725.7173461914062,0.9999830722808838,543.4866333007812,840.0750732421875,0.9999468326568604
5,639.338623046875,666.1036376953125,0.9999184608459473,616.7756958007812,705.3349609375,0.9999649524688721,661.0735473632812,720.974609375,0.9999899864196777,543.35595703125,841.142333984375,0.999929666519165
6,624.4568481445312,656.1102905273438,0.9999215602874756,607.5811767578125,700.9883422851562,0.9998238682746887,652.5191650390625,711.3712768554688,0.99981290102005,543.6956176757812,842.564208984375,0.9999403953552246
7,616.4561157226562,641.8165283203125,0.9999804496765137,601.7506713867188,696.9093017578125,0.9999558925628662,649.37890625,699.0536499023438,0.9995253086090088,543.7081298828125,839.4957885742188,0.9999527931213379
8,620.297607421875,633.1300048828125,0.9995049238204956,600.4954223632812,681.5077514648438,0.9998456239700317,647.76513671875,684.8728637695312,0.9997091889381409,550.7792358398438,833.9111328125,0.9999836683273315
9,624.0538330078125,627.8246459960938,0.9997519850730896,603.5722045898438,666.5972900390625,0.9996733665466309,647.8682250976562,662.3958129882812,0.9997572302818298,558.88427734375,824.7904663085938,0.9999330043792725
10,627.0764770507812,623.976318359375,0.9995705485343933,607.2230224609375,660.3245239257812,0.9999555349349976,649.9930419921875,654.7456665039062,0.9998569488525391,562.927490234375,820.8807373046875,0.9999924898147583
11,626.958740234375,622.2844848632812,0.9994352459907532,608.211181640625,659.7438354492188,0.999950647354126,652.461669921875,653.2103271484375,0.9997710585594177,563.0994873046875,816.70751953125,0.999992847442627
12,628.6928100585938,619.5827026367188,0.9996086955070496,610.0285034179688,659.418212890625,0.9999755620956421,655.5872802734375,650.4996948242188,0.9993182420730591,566.92578125,814.7321166992188,0.9999638795852661
13,630.4318237304688,617.041015625,0.9997000694274902,612.7188110351562,658.0028076171875,0.9999752044677734,656.8353271484375,647.3495483398438,0.999881386756897,570.845458984375,813.2985229492188,0.9996662139892578
14,630.723876953125,616.216796875,0.9996389150619507,613.7564086914062,657.8738403320312,0.9999728202819824,659.3408813476562,647.8815307617188,0.9998555183410645,571.93603515625,813.1480712890625,0.999729335308075
15,631.5750732421875,616.4010620117188,0.9994012117385864,615.839111328125,656.5535888671875,0.9999618530273438,659.3313598632812,651.0923461914062,0.9997695088386536,570.1806030273438,814.0601196289062,0.9997292160987854
16,633.6220092773438,612.173828125,0.9962170720100403,616.8468627929688,655.4707641601562,0.9999116659164429,660.0277709960938,652.8081665039062,0.9999182224273682,570.8869018554688,813.3914794921875,0.9996740818023682
17,636.8582153320312,607.4638061523438,0.9908775687217712,621.77099609375,651.9282836914062,0.9995409250259399,665.3377685546875,649.1067504882812,0.9988343119621277,570.734375,810.3969116210938,0.9998495578765869
18,639.5798950195312,599.9889526367188,0.9994290471076965,628.6910400390625,645.6507568359375,0.9999747276306152,670.5274047851562,645.4449462890625,0.999546229839325,574.5064086914062,807.1915283203125,0.9999558925628662
19,644.9617919921875,596.0186157226562,0.999992847442627,633.152099609375,644.0940551757812,0.9999533891677856,676.9683837890625,651.953125,0.9997270703315735,574.8510131835938,802.5410766601562,0.9999790191650391
20,661.9519653320312,605.6126708984375,0.9987813830375671,645.9114990234375,640.350341796875,0.9999042749404907,685.4479370117188,658.554443359375,0.9998928308486938,571.3436279296875,793.9152221679688,0.999881386756897
21,697.1737060546875,613.47900390625,0.9999383687973022,657.5133666992188,631.12060546875,0.9999053478240967,692.1760864257812,658.709716796875,0.9999858140945435,570.878173828125,786.4844970703125,0.9999260902404785
22,707.3263549804688,608.4366455078125,0.9999617338180542,668.3136596679688,623.9540405273438,0.999954104423523,699.919189453125,654.8223876953125,0.999859094619751,571.2042236328125,777.4371337890625,0.9998807907104492
23,718.7237548828125,602.2906494140625,0.999887228012085,680.1369018554688,618.2730102539062,0.9998990297317505,711.0714111328125,648.844482421875,0.9998282194137573,581.6846923828125,768.38330078125,0.999987006187439
24,736.2789916992188,592.9310913085938,0.999955415725708,694.936279296875,610.0479736328125,0.9999862909317017,725.2659301757812,640.7625122070312,0.9999794960021973,595.32568359375,766.302490234375,0.9999858140945435
25,757.4752197265625,581.7688598632812,0.9999954700469971,714.1985473632812,595.93994140625,0.9999703168869019,740.875244140625,628.0872802734375,0.9999876022338867,610.0823364257812,761.691650390625,0.9999620914459229
26,775.9031372070312,567.494140625,0.9999830722808838,730.7490844726562,583.7640380859375,0.99992835521698,760.6708374023438,614.559814453125,0.9999406337738037,622.3026733398438,745.6617431640625,0.9999276399612427
27,789.006591796875,553.94287109375,0.9999759197235107,745.2138671875,573.4513549804688,0.9999206066131592,776.8885498046875,601.1531982421875,0.9997876286506653,630.7908325195312,730.092041015625,0.9998955726623535
28,803.99462890625,538.577392578125,0.9999752044677734,761.4146118164062,559.6738891601562,0.9999759197235107,794.7650146484375,585.733154296875,0.9995895028114319,639.7843017578125,714.3519287109375,0.999932050704956
29,818.0069580078125,524.4983520507812,0.9999680519104004,778.3894653320312,544.9024047851562,0.9999803304672241,811.599365234375,570.9248046875,0.9993826150894165,653.7892456054688,694.762451171875,0.999906063079834
30,827.3330688476562,513.330322265625,0.999826967716217,791.3594360351562,531.5101928710938,0.9999895095825195,824.5040893554688,557.5767822265625,0.999929666519165,666.7633666992188,675.3729858398438,0.9999233484268188
31,840.6686401367188,499.0299072265625,0.9999624490737915,803.9780883789062,517.0377197265625,0.9999793767929077,835.223388671875,546.102783203125,0.9999938011169434,679.5625610351562,667.3753051757812,0.9998469352722168
32,854.29541015625,488.276123046875,0.99998939037323,812.1077880859375,506.67388916015625,0.9998347759246826,845.54736328125,533.5161743164062,0.9999139308929443,696.7939453125,660.8671875,0.9999613761901855
33,864.78857421875,480.05731201171875,0.9999769926071167,823.0147705078125,493.6619873046875,0.9999645948410034,854.9307861328125,522.4923095703125,0.9998641014099121,721.8147583007812,653.3980712890625,0.999971866607666
34,873.8287963867188,471.8291931152344,0.999900221824646,834.8211059570312,482.9155578613281,0.9999799728393555,867.4238891601562,511.1226501464844,0.9999806880950928,745.9236450195312,645.7278442382812,0.9999418258666992
35,886.8444213867188,463.21148681640625,0.9998563528060913,847.2488403320312,475.6419677734375,0.9998202919960022,882.2127685546875,502.0079345703125,0.9999701976776123,760.5388793945312,637.5256958007812,0.9998225569725037
36,900.0665283203125,457.84503173828125,0.9999815225601196,859.191650390625,470.6736755371094,0.9999550580978394,893.685791015625,496.7694091796875,0.999907374382019,767.8395385742188,628.1445922851562,0.9999867677688599
